summonerId,accountId,tier,rank
1631487,1490566,GOLD,V
9090785,205238608,GOLD,V
16173226,209594901,GOLD,V
15211547,210044540,SILVER,I
16376785,210744168,GOLD,V
531984,43454412,GOLD,III
15153003,210080075,GOLD,III
18481943,211893253,GOLD,IV
9270412,205362281,GOLD,V
457477,44640304,GOLD,IV
14960884,209930216,GOLD,V
26324920,215555615,GOLD,II
9284960,205474015,GOLD,V
31064628,219078093,GOLD,V
22444628,213720686,GOLD,V
31270555,219522692,SILVER,I
1175694,1086021,GOLD,IV
4715255,202751591,GOLD,V
4797947,202852383,GOLD,V
1958300,200157103,SILVER,II
4049183,202144582,GOLD,V
27714214,216192018,SILVER,III
11996010,208069882,SILVER,IV
16301449,210639902,GOLD,IV
18752724,212034690,GOLD,IV
17693563,211508308,SILVER,III
769222,781079,GOLD,V
2321152,200452017,SILVER,II
7021808,204342396,GOLD,V
1604839,1545680,SILVER,III
6150182,203888308,SILVER,I
17231871,211245223,GOLD,V
16194990,210611884,SILVER,I
3054197,201172890,SILVER,II
17303401,211276254,SILVER,II
2433093,200585564,SILVER,II
18177506,211805050,SILVER,I
18896009,212201027,SILVER,II
22591408,213820932,SILVER,I
15103133,210081754,SILVER,I
2232267,200372708,SILVER,I
9213070,205442043,GOLD,V
5932419,203689493,SILVER,II
1580183,1439658,SILVER,II
4499459,202580760,SILVER,II
16753735,210931282,GOLD,V
15162356,210066626,SILVER,III
12554651,208423111,GOLD,V
4481816,202503482,SILVER,I
4931285,202904947,GOLD,IV
9011591,205256020,GOLD,IV
6354639,204004182,SILVER,I
4098287,202237118,SILVER,I
22403333,213720782,SILVER,I
4978976,203054048,SILVER,I
26142996,213586929,SILVER,I
1527302,1406284,SILVER,II
410789,48315654,GOLD,V
1832078,200016639,SILVER,III
1862714,200020687,GOLD,V
8650939,205121274,GOLD,IV
8651197,205126857,SILVER,I
1644790,1546040,GOLD,V
1488120,1412248,GOLD,V
2552524,200734748,SILVER,I
22183587,213579871,SILVER,III
21835901,213351414,GOLD,III
3411126,201485116,SILVER,II
31752763,219959856,SILVER,II
19930731,212579737,SILVER,II
20430805,212819763,SILVER,I
7343130,204533227,GOLD,V
18564013,211932384,GOLD,V
3933294,202014762,GOLD,V
1343618,41237160,GOLD,V
5023318,202995368,GOLD,IV
8781402,205132424,GOLD,V
24984541,214865705,GOLD,V
23822808,214386377,SILVER,II
14701896,209801613,GOLD,V
13730922,209166108,GOLD,V
22352132,213682432,SILVER,IV
2583005,200656174,GOLD,V
10245076,206384993,PLATINUM,III
1093441,1007008,GOLD,III
1478097,1417750,PLATINUM,V
893032,857160,GOLD,II
22872304,214053171,GOLD,V
3413595,201518795,GOLD,I
9411780,205565903,GOLD,II
5827363,203792804,PLATINUM,IV
30120520,217998931,PLATINUM,II
411259,43353928,PLATINUM,III
18014062,211621640,GOLD,I
400845,38835447,GOLD,I
14432504,209628261,GOLD,II
27672828,216144064,PLATINUM,III
9596142,205831449,GOLD,V
8710288,205105473,GOLD,V
2587316,200709800,PLATINUM,III
1975410,200211535,PLATINUM,V
2110756,200252982,PLATINUM,II
6354123,203993367,GOLD,III
2066764,200301166,PLATINUM,IV
22704197,213972701,PLATINUM,V
30731742,218507273,GOLD,III
3935242,202029247,GOLD,IV
8951932,205221900,GOLD,I
14722590,209821324,GOLD,III
14523292,209740059,SILVER,I
15783006,210361793,GOLD,V
22211833,213421690,SILVER,I
19941911,212601033,GOLD,IV
23740911,214358072,GOLD,III
6772647,202888636,GOLD,V
4190451,202252728,GOLD,III
2002150,200182198,SILVER,IV
7820421,204717653,PLATINUM,IV
487062,35076863,GOLD,III
1132752,982737,GOLD,III
28260336,216416653,GOLD,IV
3329779,201458751,GOLD,III
537231,35421664,GOLD,V
18735441,212091313,PLATINUM,III
4086633,202219637,GOLD,IV
2545171,200755710,GOLD,I
2456415,200617162,GOLD,III
806119,758443,GOLD,II
2192861,200349799,GOLD,III
5691408,203556845,GOLD,I
637383,651947,PLATINUM,III
1529032,1386488,GOLD,V
3310660,201388535,GOLD,I
29912589,217977981,PLATINUM,IV
26761686,215686765,GOLD,IV
4936018,202821165,DIAMOND,V
22322364,213702663,PLATINUM,III
16875507,211084185,GOLD,V
13970575,209360896,PLATINUM,V
3685276,201774621,GOLD,V
20073502,212628897,GOLD,III
10306019,206351656,GOLD,IV
2184050,200358246,GOLD,II
19091121,212248942,PLATINUM,V
11132948,207344938,GOLD,IV
3439943,201573060,PLATINUM,IV
490372,356225,GOLD,V
20590831,212836221,GOLD,V
14371103,209596088,GOLD,V
5892852,203698451,GOLD,III
4816786,202871784,GOLD,V
9126857,205375246,GOLD,V
13088886,208876303,GOLD,IV
30701464,218494044,SILVER,I
7743745,204766983,GOLD,V
14530336,209673666,GOLD,III
29094282,217212008,GOLD,V
1517385,1416557,PLATINUM,V
25262068,215040067,PLATINUM,III
13320658,208912843,GOLD,III
777839,763925,GOLD,III
6364112,203996774,GOLD,I
28724127,216786442,SILVER,II
1540720,1423100,GOLD,III
3882989,201934609,GOLD,V
452818,45027908,GOLD,I
22532416,213838233,PLATINUM,V
4714394,202742573,PLATINUM,V
